query_text,ministry_label
Complaint regarding delay in service by Agriculture Research and Education.,Department of Agriculture Research and Education
Why is there no response from the local office of Agriculture Research and Education?,Department of Agriculture Research and Education
Complaint regarding delay in service by Agriculture Research and Education.,Department of Agriculture Research and Education
Why is there no response from the local office of Agriculture Research and Education?,Department of Agriculture Research and Education
I need the contact details of the nodal officer for Agriculture Research and Education.,Department of Agriculture Research and Education
Please provide details about funds allocated to Agriculture Research and Education.,Department of Agriculture Research and Education
Requesting information on new schemes under Agriculture Research and Education.,Department of Agriculture Research and Education
Please provide details about funds allocated to Agriculture Research and Education.,Department of Agriculture Research and Education
What is the status of my application with Agriculture Research and Education?,Department of Agriculture Research and Education
Why is there no response from the local office of Agriculture Research and Education?,Department of Agriculture Research and Education
Complaint regarding delay in service by Agriculture Research and Education.,Department of Agriculture Research and Education
I need the contact details of the nodal officer for Agriculture Research and Education.,Department of Agriculture Research and Education
Complaint regarding delay in service by Agriculture Research and Education.,Department of Agriculture Research and Education
What is the status of my application with Agriculture Research and Education?,Department of Agriculture Research and Education
What is the status of my application with Agriculture Research and Education?,Department of Agriculture Research and Education
Complaint regarding delay in service by Agriculture Research and Education.,Department of Agriculture Research and Education
What is the status of my application with Agriculture Research and Education?,Department of Agriculture Research and Education
Please provide details about funds allocated to Agriculture Research and Education.,Department of Agriculture Research and Education
Please provide details about funds allocated to Agriculture Research and Education.,Department of Agriculture Research and Education
Complaint regarding delay in service by Agriculture Research and Education.,Department of Agriculture Research and Education
Complaint regarding delay in service by Kisan Credit Card.,"Department of Agriculture, Cooperation and Farmers Welfare"
Requesting information on new schemes under Crop Insurance Claim.,"Department of Agriculture, Cooperation and Farmers Welfare"
Requesting information on new schemes under Kisan Credit Card.,"Department of Agriculture, Cooperation and Farmers Welfare"
I want to file an RTI regarding Crop Insurance Claim.,"Department of Agriculture, Cooperation and Farmers Welfare"
Complaint regarding delay in service by Crop Insurance Claim.,"Department of Agriculture, Cooperation and Farmers Welfare"
I need the contact details of the nodal officer for Kisan Credit Card.,"Department of Agriculture, Cooperation and Farmers Welfare"
Why is there no response from the local office of MSP Rates?,"Department of Agriculture, Cooperation and Farmers Welfare"
Please provide details about funds allocated to Crop Insurance Claim.,"Department of Agriculture, Cooperation and Farmers Welfare"
Complaint regarding delay in service by MSP Rates.,"Department of Agriculture, Cooperation and Farmers Welfare"
Please provide details about funds allocated to Farmers Subsidy.,"Department of Agriculture, Cooperation and Farmers Welfare"
I need the contact details of the nodal officer for MSP Rates.,"Department of Agriculture, Cooperation and Farmers Welfare"
Please provide details about funds allocated to MSP Rates.,"Department of Agriculture, Cooperation and Farmers Welfare"
I need the contact details of the nodal officer for Farmers Subsidy.,"Department of Agriculture, Cooperation and Farmers Welfare"
Complaint regarding delay in service by Crop Insurance Claim.,"Department of Agriculture, Cooperation and Farmers Welfare"
I want to file an RTI regarding MSP Rates.,"Department of Agriculture, Cooperation and Farmers Welfare"
Please provide details about funds allocated to Kisan Credit Card.,"Department of Agriculture, Cooperation and Farmers Welfare"
Please provide details about funds allocated to Farmers Subsidy.,"Department of Agriculture, Cooperation and Farmers Welfare"
Why is there no response from the local office of Crop Insurance Claim?,"Department of Agriculture, Cooperation and Farmers Welfare"
Complaint regarding delay in service by MSP Rates.,"Department of Agriculture, Cooperation and Farmers Welfare"
Requesting information on new schemes under Kisan Credit Card.,"Department of Agriculture, Cooperation and Farmers Welfare"
"Please provide details about funds allocated to Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"Complaint regarding delay in service by Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"I need the contact details of the nodal officer for Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"Requesting information on new schemes under Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"What is the status of my application with Animal Husbandry, Dairying?","Department of Animal Husbandry, Dairying"
"Complaint regarding delay in service by Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"Requesting information on new schemes under Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"Please provide details about funds allocated to Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"Complaint regarding delay in service by Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"Requesting information on new schemes under Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"What is the status of my application with Animal Husbandry, Dairying?","Department of Animal Husbandry, Dairying"
"Why is there no response from the local office of Animal Husbandry, Dairying?","Department of Animal Husbandry, Dairying"
"I want to file an RTI regarding Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"I want to file an RTI regarding Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"I want to file an RTI regarding Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"What is the status of my application with Animal Husbandry, Dairying?","Department of Animal Husbandry, Dairying"
"What is the status of my application with Animal Husbandry, Dairying?","Department of Animal Husbandry, Dairying"
"I need the contact details of the nodal officer for Animal Husbandry, Dairying.","Department of Animal Husbandry, Dairying"
"What is the status of my application with Animal Husbandry, Dairying?","Department of Animal Husbandry, Dairying"
"Why is there no response from the local office of Animal Husbandry, Dairying?","Department of Animal Husbandry, Dairying"
Requesting information on new schemes under Atomic Energy.,Department of Atomic Energy
Requesting information on new schemes under Atomic Energy.,Department of Atomic Energy
Requesting information on new schemes under Atomic Energy.,Department of Atomic Energy
I need the contact details of the nodal officer for Atomic Energy.,Department of Atomic Energy
What is the status of my application with Atomic Energy?,Department of Atomic Energy
Please provide details about funds allocated to Atomic Energy.,Department of Atomic Energy
Why is there no response from the local office of Atomic Energy?,Department of Atomic Energy
Requesting information on new schemes under Atomic Energy.,Department of Atomic Energy
Complaint regarding delay in service by Atomic Energy.,Department of Atomic Energy
I need the contact details of the nodal officer for Atomic Energy.,Department of Atomic Energy
Complaint regarding delay in service by Atomic Energy.,Department of Atomic Energy
Please provide details about funds allocated to Atomic Energy.,Department of Atomic Energy
Please provide details about funds allocated to Atomic Energy.,Department of Atomic Energy
I want to file an RTI regarding Atomic Energy.,Department of Atomic Energy
Why is there no response from the local office of Atomic Energy?,Department of Atomic Energy
I want to file an RTI regarding Atomic Energy.,Department of Atomic Energy
What is the status of my application with Atomic Energy?,Department of Atomic Energy
Why is there no response from the local office of Atomic Energy?,Department of Atomic Energy
I need the contact details of the nodal officer for Atomic Energy.,Department of Atomic Energy
I need the contact details of the nodal officer for Atomic Energy.,Department of Atomic Energy
Complaint regarding delay in service by Bio Technology.,Department of Bio Technology
Please provide details about funds allocated to Bio Technology.,Department of Bio Technology
Why is there no response from the local office of Bio Technology?,Department of Bio Technology
What is the status of my application with Bio Technology?,Department of Bio Technology
I need the contact details of the nodal officer for Bio Technology.,Department of Bio Technology
Why is there no response from the local office of Bio Technology?,Department of Bio Technology
I want to file an RTI regarding Bio Technology.,Department of Bio Technology
Complaint regarding delay in service by Bio Technology.,Department of Bio Technology
Complaint regarding delay in service by Bio Technology.,Department of Bio Technology
I want to file an RTI regarding Bio Technology.,Department of Bio Technology
What is the status of my application with Bio Technology?,Department of Bio Technology
What is the status of my application with Bio Technology?,Department of Bio Technology
What is the status of my application with Bio Technology?,Department of Bio Technology
Requesting information on new schemes under Bio Technology.,Department of Bio Technology
Please provide details about funds allocated to Bio Technology.,Department of Bio Technology
Please provide details about funds allocated to Bio Technology.,Department of Bio Technology
Requesting information on new schemes under Bio Technology.,Department of Bio Technology
Requesting information on new schemes under Bio Technology.,Department of Bio Technology
I need the contact details of the nodal officer for Bio Technology.,Department of Bio Technology
I want to file an RTI regarding Bio Technology.,Department of Bio Technology
Please provide details about funds allocated to Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
I want to file an RTI regarding Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
I want to file an RTI regarding Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Why is there no response from the local office of Chemicals and Petrochemicals?,Department of Chemicals and Petrochemicals
Requesting information on new schemes under Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
I want to file an RTI regarding Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
I need the contact details of the nodal officer for Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Requesting information on new schemes under Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
I need the contact details of the nodal officer for Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Complaint regarding delay in service by Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
I need the contact details of the nodal officer for Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Requesting information on new schemes under Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Please provide details about funds allocated to Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Complaint regarding delay in service by Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Why is there no response from the local office of Chemicals and Petrochemicals?,Department of Chemicals and Petrochemicals
I need the contact details of the nodal officer for Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Requesting information on new schemes under Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
I need the contact details of the nodal officer for Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
I need the contact details of the nodal officer for Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
Requesting information on new schemes under Chemicals and Petrochemicals.,Department of Chemicals and Petrochemicals
What is the status of my application with Commerce?,Department of Commerce
Complaint regarding delay in service by Commerce.,Department of Commerce
Requesting information on new schemes under Commerce.,Department of Commerce
I want to file an RTI regarding Commerce.,Department of Commerce
I want to file an RTI regarding Commerce.,Department of Commerce
I want to file an RTI regarding Commerce.,Department of Commerce
I need the contact details of the nodal officer for Commerce.,Department of Commerce
Requesting information on new schemes under Commerce.,Department of Commerce
Please provide details about funds allocated to Commerce.,Department of Commerce
Please provide details about funds allocated to Commerce.,Department of Commerce
Requesting information on new schemes under Commerce.,Department of Commerce
I need the contact details of the nodal officer for Commerce.,Department of Commerce
Requesting information on new schemes under Commerce.,Department of Commerce
What is the status of my application with Commerce?,Department of Commerce
What is the status of my application with Commerce?,Department of Commerce
Requesting information on new schemes under Commerce.,Department of Commerce
Please provide details about funds allocated to Commerce.,Department of Commerce
Requesting information on new schemes under Commerce.,Department of Commerce
I need the contact details of the nodal officer for Commerce.,Department of Commerce
I need the contact details of the nodal officer for Commerce.,Department of Commerce
I need the contact details of the nodal officer for Consumer Affairs.,Department of Consumer Affairs
Why is there no response from the local office of Consumer Affairs?,Department of Consumer Affairs
Why is there no response from the local office of Consumer Affairs?,Department of Consumer Affairs
I want to file an RTI regarding Consumer Affairs.,Department of Consumer Affairs
Please provide details about funds allocated to Consumer Affairs.,Department of Consumer Affairs
What is the status of my application with Consumer Affairs?,Department of Consumer Affairs
Please provide details about funds allocated to Consumer Affairs.,Department of Consumer Affairs
I need the contact details of the nodal officer for Consumer Affairs.,Department of Consumer Affairs
Complaint regarding delay in service by Consumer Affairs.,Department of Consumer Affairs
Please provide details about funds allocated to Consumer Affairs.,Department of Consumer Affairs
Please provide details about funds allocated to Consumer Affairs.,Department of Consumer Affairs
What is the status of my application with Consumer Affairs?,Department of Consumer Affairs
Please provide details about funds allocated to Consumer Affairs.,Department of Consumer Affairs
Why is there no response from the local office of Consumer Affairs?,Department of Consumer Affairs
I need the contact details of the nodal officer for Consumer Affairs.,Department of Consumer Affairs
I need the contact details of the nodal officer for Consumer Affairs.,Department of Consumer Affairs
Please provide details about funds allocated to Consumer Affairs.,Department of Consumer Affairs
What is the status of my application with Consumer Affairs?,Department of Consumer Affairs
Why is there no response from the local office of Consumer Affairs?,Department of Consumer Affairs
Complaint regarding delay in service by Consumer Affairs.,Department of Consumer Affairs
Requesting information on new schemes under Defence.,Department of Defence
I want to file an RTI regarding Defence.,Department of Defence
I need the contact details of the nodal officer for Defence.,Department of Defence
I need the contact details of the nodal officer for Defence.,Department of Defence
Complaint regarding delay in service by Defence.,Department of Defence
Complaint regarding delay in service by Defence.,Department of Defence
Why is there no response from the local office of Defence?,Department of Defence
What is the status of my application with Defence?,Department of Defence
I want to file an RTI regarding Defence.,Department of Defence
Requesting information on new schemes under Defence.,Department of Defence
Requesting information on new schemes under Defence.,Department of Defence
I want to file an RTI regarding Defence.,Department of Defence
Why is there no response from the local office of Defence?,Department of Defence
What is the status of my application with Defence?,Department of Defence
I want to file an RTI regarding Defence.,Department of Defence
I need the contact details of the nodal officer for Defence.,Department of Defence
Complaint regarding delay in service by Defence.,Department of Defence
Why is there no response from the local office of Defence?,Department of Defence
Requesting information on new schemes under Defence.,Department of Defence
Requesting information on new schemes under Defence.,Department of Defence
I need the contact details of the nodal officer for Defence Finance.,Department of Defence Finance
Why is there no response from the local office of Defence Finance?,Department of Defence Finance
What is the status of my application with Defence Finance?,Department of Defence Finance
Please provide details about funds allocated to Defence Finance.,Department of Defence Finance
Complaint regarding delay in service by Defence Finance.,Department of Defence Finance
Requesting information on new schemes under Defence Finance.,Department of Defence Finance
Requesting information on new schemes under Defence Finance.,Department of Defence Finance
I want to file an RTI regarding Defence Finance.,Department of Defence Finance
I need the contact details of the nodal officer for Defence Finance.,Department of Defence Finance
What is the status of my application with Defence Finance?,Department of Defence Finance
Requesting information on new schemes under Defence Finance.,Department of Defence Finance
Requesting information on new schemes under Defence Finance.,Department of Defence Finance
Complaint regarding delay in service by Defence Finance.,Department of Defence Finance
Please provide details about funds allocated to Defence Finance.,Department of Defence Finance
I want to file an RTI regarding Defence Finance.,Department of Defence Finance
Why is there no response from the local office of Defence Finance?,Department of Defence Finance
Complaint regarding delay in service by Defence Finance.,Department of Defence Finance
Requesting information on new schemes under Defence Finance.,Department of Defence Finance
Please provide details about funds allocated to Defence Finance.,Department of Defence Finance
What is the status of my application with Defence Finance?,Department of Defence Finance
What is the status of my application with Defence Production?,Department of Defence Production
Complaint regarding delay in service by Defence Production.,Department of Defence Production
Complaint regarding delay in service by Defence Production.,Department of Defence Production
I need the contact details of the nodal officer for Defence Production.,Department of Defence Production
I need the contact details of the nodal officer for Defence Production.,Department of Defence Production
I want to file an RTI regarding Defence Production.,Department of Defence Production
I want to file an RTI regarding Defence Production.,Department of Defence Production
Please provide details about funds allocated to Defence Production.,Department of Defence Production
What is the status of my application with Defence Production?,Department of Defence Production
Complaint regarding delay in service by Defence Production.,Department of Defence Production
Complaint regarding delay in service by Defence Production.,Department of Defence Production
I want to file an RTI regarding Defence Production.,Department of Defence Production
Please provide details about funds allocated to Defence Production.,Department of Defence Production
I need the contact details of the nodal officer for Defence Production.,Department of Defence Production
Why is there no response from the local office of Defence Production?,Department of Defence Production
Why is there no response from the local office of Defence Production?,Department of Defence Production
What is the status of my application with Defence Production?,Department of Defence Production
Please provide details about funds allocated to Defence Production.,Department of Defence Production
Please provide details about funds allocated to Defence Production.,Department of Defence Production
Please provide details about funds allocated to Defence Production.,Department of Defence Production
I want to file an RTI regarding Defence Research and Development.,Department of Defence Research and Development
I want to file an RTI regarding Defence Research and Development.,Department of Defence Research and Development
I want to file an RTI regarding Defence Research and Development.,Department of Defence Research and Development
I want to file an RTI regarding Defence Research and Development.,Department of Defence Research and Development
I want to file an RTI regarding Defence Research and Development.,Department of Defence Research and Development
Why is there no response from the local office of Defence Research and Development?,Department of Defence Research and Development
What is the status of my application with Defence Research and Development?,Department of Defence Research and Development
Please provide details about funds allocated to Defence Research and Development.,Department of Defence Research and Development
I need the contact details of the nodal officer for Defence Research and Development.,Department of Defence Research and Development
I want to file an RTI regarding Defence Research and Development.,Department of Defence Research and Development
Requesting information on new schemes under Defence Research and Development.,Department of Defence Research and Development
Please provide details about funds allocated to Defence Research and Development.,Department of Defence Research and Development
Please provide details about funds allocated to Defence Research and Development.,Department of Defence Research and Development
Please provide details about funds allocated to Defence Research and Development.,Department of Defence Research and Development
Complaint regarding delay in service by Defence Research and Development.,Department of Defence Research and Development
Requesting information on new schemes under Defence Research and Development.,Department of Defence Research and Development
Why is there no response from the local office of Defence Research and Development?,Department of Defence Research and Development
I want to file an RTI regarding Defence Research and Development.,Department of Defence Research and Development
Requesting information on new schemes under Defence Research and Development.,Department of Defence Research and Development
Complaint regarding delay in service by Defence Research and Development.,Department of Defence Research and Development
I need the contact details of the nodal officer for Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
I need the contact details of the nodal officer for Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
Why is there no response from the local office of Economic Affairs ACC Division?,Department of Economic Affairs ACC Division
Complaint regarding delay in service by Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
Why is there no response from the local office of Economic Affairs ACC Division?,Department of Economic Affairs ACC Division
What is the status of my application with Economic Affairs ACC Division?,Department of Economic Affairs ACC Division
Why is there no response from the local office of Economic Affairs ACC Division?,Department of Economic Affairs ACC Division
Complaint regarding delay in service by Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
I need the contact details of the nodal officer for Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
I need the contact details of the nodal officer for Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
What is the status of my application with Economic Affairs ACC Division?,Department of Economic Affairs ACC Division
I want to file an RTI regarding Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
Requesting information on new schemes under Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
What is the status of my application with Economic Affairs ACC Division?,Department of Economic Affairs ACC Division
I need the contact details of the nodal officer for Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
I want to file an RTI regarding Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
What is the status of my application with Economic Affairs ACC Division?,Department of Economic Affairs ACC Division
Please provide details about funds allocated to Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
Requesting information on new schemes under Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
I need the contact details of the nodal officer for Economic Affairs ACC Division.,Department of Economic Affairs ACC Division
What is the status of my application with Empowerment of Persons with Disabilities?,Department of Empowerment of Persons with Disabilities
I want to file an RTI regarding Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Complaint regarding delay in service by Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Complaint regarding delay in service by Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Requesting information on new schemes under Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Please provide details about funds allocated to Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Please provide details about funds allocated to Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Complaint regarding delay in service by Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Complaint regarding delay in service by Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Please provide details about funds allocated to Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Complaint regarding delay in service by Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Please provide details about funds allocated to Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
I need the contact details of the nodal officer for Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Please provide details about funds allocated to Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
Complaint regarding delay in service by Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
What is the status of my application with Empowerment of Persons with Disabilities?,Department of Empowerment of Persons with Disabilities
I want to file an RTI regarding Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
I need the contact details of the nodal officer for Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
I want to file an RTI regarding Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
I want to file an RTI regarding Empowerment of Persons with Disabilities.,Department of Empowerment of Persons with Disabilities
I want to file an RTI regarding Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
Requesting information on new schemes under Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
I want to file an RTI regarding Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
Complaint regarding delay in service by Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
Please provide details about funds allocated to Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
Why is there no response from the local office of Ex Servicemen Welfare?,Department of Ex Servicemen Welfare
I want to file an RTI regarding Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
I need the contact details of the nodal officer for Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
Please provide details about funds allocated to Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
Why is there no response from the local office of Ex Servicemen Welfare?,Department of Ex Servicemen Welfare
I want to file an RTI regarding Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
I need the contact details of the nodal officer for Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
I need the contact details of the nodal officer for Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
Please provide details about funds allocated to Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
Requesting information on new schemes under Ex Servicemen Welfare.,Department of Ex Servicemen Welfare
